F001;P001;S001;10/07/2026;14:00;5.00
F002;P001;S002;10/07/2026;18:00;5.00
F003;P002;S003;10/07/2026;15:30;5.00
F004;P002;S001;10/07/2026;20:00;5.00
F005;P003;S004;10/07/2026;21:30;6.00
F006;P004;S005;11/07/2026;19:00;6.50
F007;P005;S004;11/07/2026;22:00;6.00
F008;P006;S002;11/07/2026;13:00;4.50
F009;P007;S005;11/07/2026;20:30;7.00
F010;P008;S003;12/07/2026;18:30;6.00
F011;P009;S001;12/07/2026;14:30;4.50
F012;P010;S002;12/07/2026;17:00;5.50
F013;P011;S003;12/07/2026;12:30;2.5
F014;P012;S005;12/12/2027;23:00;23.5
